StartTime(UTC),EndTime(UTC),Type,Severity
2016-11-02 23:15:00,2016-11-03 00:00:00,Rain,Light
2016-11-03 00:00:00,2016-11-03 00:30:00,Rain,Moderate
2016-11-03 00:30:00,2016-11-03 03:00:00,Rain,Light
2016-11-18 17:15:00,2016-11-18 18:00:00,Rain,Light
2016-11-18 19:45:00,2016-11-18 21:00:00,Rain,Light
2016-11-18 21:45:00,2016-11-18 23:00:00,Rain,Light
2016-11-19 06:00:00,2016-11-19 07:30:00,Rain,Light
2016-11-19 08:00:00,2016-11-19 08:30:00,Rain,Light
2016-11-19 10:00:00,2016-11-19 12:00:00,Rain,Light
2016-11-19 12:00:00,2016-11-19 13:00:00,Snow,Light
2016-11-23 02:15:00,2016-11-23 02:30:00,Hail,Other
2016-11-23 02:30:00,2016-11-23 04:00:00,Rain,Light
2016-11-23 05:00:00,2016-11-23 06:00:00,Rain,Light
2016-11-23 07:00:00,2016-11-23 15:00:00,Rain,Light
2016-11-23 16:00:00,2016-11-24 02:45:00,Rain,Light
2016-11-24 04:00:00,2016-11-24 04:00:00,Rain,Light
2016-11-25 05:00:00,2016-11-25 06:00:00,Rain,Light
2016-11-25 07:00:00,2016-11-25 08:00:00,Rain,Light
2016-11-25 09:00:00,2016-11-25 10:00:00,Rain,Light
2016-11-25 22:00:00,2016-11-25 23:00:00,Rain,Light
2016-11-28 05:00:00,2016-11-28 07:00:00,Rain,Light
2016-11-28 08:00:00,2016-11-28 09:00:00,Rain,Light
2016-11-28 09:00:00,2016-11-28 10:00:00,Rain,Moderate
2016-11-28 10:00:00,2016-11-28 11:00:00,Rain,Light
2016-11-28 18:00:00,2016-11-28 21:00:00,Rain,Light
2016-11-28 21:00:00,2016-11-28 22:00:00,Rain,Moderate
